cluster,segment code,segment,Family code,Family                   ,MC. Desc            ,Class code,Class                 ,Brick code,Brick,Article Code,UOM,foodcouponaccepted,weightedItem,speciality,finiteinventory,Desc,Sarla Grand,Super Vidyaranyanpur,Ascendas Park,Vijaynagar TTMC,L3 code,L3,L2 Code,L2,L1 code,L1,,RRP,MRP1,MRP2,MRP3,MRP4,MRP5
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,491186641,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE DRY FRUITS COMBO PACK 300 g PP,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,,212,229,229,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,491186643,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE FIG ANJEER 100 g PP           ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,,80,89,89,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,491186644,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE FIG ANJEER 200 g PP           ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,,159,170,170,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,491186646,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE WALNUT IN SHELL 200 g PP      ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,125,125,115,109,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,491186648,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE WALNUT BROKEN 100 g PP        ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,143,145,146,110,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,491186649,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE WALNUT BROKEN 200 g PP        ,Y,Y,Y,Y,141,"Almond, Anjeer & Walnut",14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,280,280,292,218,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,491186661,kg,TRUE,TRUE,FALSE,TRUE,BEST FARM MUNAKA ABJOSH 100 g PP        ,Y,Y,Y,Y,146,Pista & Raisins,14,Dry Fruits,1,Confectionery & Snacks,,82,99,99,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,491251580,kg,TRUE,TRUE,FALSE,TRUE,GOURMIA DRIED CALIFORNA PRUNES 200 g CBD,Y,Y,Y,Y,144,Dates & Dried Fruits,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,190,190,170,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,491251581,kg,TRUE,TRUE,FALSE,TRUE,GOURMIA DRIED KIWI 200 g CBD            ,Y,Y,Y,Y,144,Dates & Dried Fruits,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,190,190,170,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,OTHER DRY FRUITS    ,180101,DRY FRUITS            ,180101004,ALMONDS             ,491251584,kg,TRUE,TRUE,FALSE,TRUE,GOURMIA DRIED CRANBERRY 200 g CBD       ,Y,Y,Y,Y,144,Dates & Dried Fruits,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,210,210,170,0,0,0
